Date,mun_geocod,mun_nome,mun_lat,mun_lon,mun_uf_nome,co_ppb,no2_ppb,o3_ppb,pm25_ugm3,so2_ugm3,precipitacao_mmdia,temperatura_c,umidade_relativa_percentual,vento_direcao_grau,vento_velocidade_ms
1/3/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,75.25,NA,10.35,2.375,0.4,9,26,86.5,118.75,4.225
1/4/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,64.275,NA,10.175,3.6,0.375,5,25.675,86,127.75,3.625
1/5/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,59.1,NA,9.775,4.075,0.45,16,25.7,87.5,134.5,3.65
1/6/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,69.4,NA,9.725,5.8,0.5,5,25.4,90.25,129.75,3.575
1/7/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,82.1,NA,9.45,4.2,0.4,0,26.35,83.75,107.5,3.625
1/8/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,80.55,NA,9.525,3.7,0.4,1,26.35,84.25,122,3.825
1/9/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,78,NA,9.275,4.25,0.4,2,26.3,84.75,122,3.8
1/10/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,74.45,NA,9.2,4.85,0.45,5,26.325,83.75,134.75,4.05
1/11/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,71.2,NA,9.675,5.55,0.6,0,27.275,74.5,129.75,4.15
1/12/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,79.5,NA,9.375,4.125,0.4,0,27.125,76.25,81,3.325
1/13/2000,2403251,PARNAMIRIM,-5.9153,-35.268,RIO GRANDE DO NORTE,94.15,NA,8.875,4.4,0.375,0,27.375,73.5,102.5,3.425
